#=======Menu Item=======#
0x01	Têp
0x51e	Lọc và hiển thị trong danh sách các Thẻ CÓ XUẤT HIỆN trong Bộ Bài được chọn.
0x51f	Lọc và hiển thị trong danh sách các Thẻ KHÔNG XUẤT HIỆN trong Bộ Bài được chọn.

0x520	Lọc và hiển thị các thẻ trong danh sách bằng một ngôn ngữ được chỉ định.
0x521	Lọc và hiển thị các thẻ trong danh sách CÓ BAO GỒM ngôn ngữ được chỉ định.
0x522	Lọc và hiển thị các thẻ trong danh sách KHÔNG BAO GỒM ngôn ngữ được chỉ định.

0x525	Trích xuất Cơ Sở Dữ Liệu (và tất cả Hình Ảnh, Tập Lệnh của mỗi Thẻ trong Cơ Sở Dữ Liệu) dưới dạng tệp ZIP.

0x52a	Trích xuất các Thẻ dưới dạng tệp CardEditorSet.
0x52b	Nhập các Thẻ từ tệp CardEditorSet vào danh sách.

0x52c	Trích xuất các Thẻ dưới dạng tệp Excel.
0x52d	Nhập các Thẻ từ tệp Excel vào danh sách.

0x531	Phân tích mã để tìm ra các vấn đề về định dạng và sửa bất kỳ lỗi không nhất quán nào được phát hiện.
0x532	Xuất tệp khóa Registry của Windows.
0x533	Mã nguồn trên Github.

0x53a	Hình ảnh mặc định.
0x53b	Xem hình ảnh
0x53c	Mở vị trí tệp hình ảnh
0x53d	Mở thẻ trong Cơ Sở Dữ Liệu thẻ
0x53e	Mở tập lệnh thẻ
0x53f	Mở thẻ trên trang web cơ sở dữ liệu Konami
0x540	Mở thẻ trên trang web Yugipedia
0x541	Mở thẻ trên trang web YGO Resources

0x54a	Thẻ phải đáp ứng tất cả các điều kiện lọc.
0x54b	Thẻ chỉ cần đáp ứng một trong các điều kiện lọc.
0x54c	Áp dụng AND giữa các nhóm và OR trong từng nhóm.
0x54d	Áp dụng OR giữa các nhóm và AND trong từng nhóm.

0x551	Thay thế phần mô tả hiệu ứng của các lá bài.
0x552	Chỉ thay thế các trường đã chọn trong danh sách hiện tại bằng dữ liệu từ tệp cơ sở dữ liệu đã nhập, được khớp theo ID. Thẻ mới sẽ chỉ được thêm nếu tùy chọn “Thêm thẻ mới” được bật.
0x553	Nhập thẻ từ tệp cơ sở dữ liệu đã nhập. Các thẻ hiện có sẽ chỉ thay thế các trường đã chọn, bỏ qua chúng nếu không có trường nào được chọn.

#=======Object=======#
0x5a1	{0} Tệp
0x5a2	Lưu {0}
0x5a3	Chọn {0}

0x5a4	Cơ Sở Dữ Liệu Thẻ
0x5a5	Cơ Sở Dữ Liệu Thẻ Hiếm
0x5a6	Cơ Sở Dữ Liệu Độ Hiếm
0x5a7	Cơ Sở Dữ Liệu Genesys
0x5a8	Cơ Sở Dữ Liệu Credit
0x5a9	Tập lệnh Thẻ
0x5aa	Tập lệnh
0x5ab	Hình Ảnh
